Username,EnterpriseID,StatusPernikahan,JenisKelamin,StatusKepegawaian,Pekerjaan,JenjangKarir,PerformancePegawai,AsalDaerah,HiringPlatform,SkorSurveyEngagement,SkorKepuasanPegawai,JumlahKeikutsertaanProjek,JumlahKeterlambatanSebulanTerakhir,JumlahKetidakhadiran,NomorHP,Email,TingkatPendidikan,PernahBekerja,IkutProgramLOP,AlasanResign,TanggalLahir,TanggalHiring,TanggalPenilaianKaryawan,TanggalResign
grizzledSnipe7,111354,Bercerai,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Barat,CareerBuilder,1,5.0,0.0,5.0,2.0,+6289987666xxx,grizzledSnipe7992@outlook.com,Magister,1,,tidak_bahagia,1989-07-18,2011-07-05,2016-02-06,2018-9-19
yearningBagels0,100895,Menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Pusat,LinkedIn,4,3.0,0.0,0.0,50.0,+6287794061xxx,yearningBagels0311@outlook.com,Magister,1,,masih_bekerja,1988-08-10,2013-11-11,2020-01-08,-
sheepishSheep9,110783,Menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Selatan,LinkedIn,3,4.0,0.0,0.0,12.0,+6282234433xxx,sheepishSheep9611@outlook.com,Sarjana,1,,masih_bekerja,1983-12-02,2011-5-16,2020-2-26,-
madWildfowl7,105507,Menikah,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Selatan,Indeed,3,4.0,0.0,0.0,3.0,+6281965329xxx,madWildfowl7630@gmail.com,Sarjana,1,,ganti_karir,1983-08-27,2011-6-27,2016-03-10,2019-04-06
enviousSalami4,106710,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Senior_level,Sangat_kurang,Jakarta Utara,LinkedIn,3,3.0,0.0,0.0,,+6285856642xxx,enviousSalami4948@hotmail.com,Doktor,1,,toxic_culture,1985-03-15,2011-01-10,2015-01-05,2019-08-04
pacifiedRaisins7,101236,Menikah,Pria,FullTime,Product Manager,Freshgraduate_program,Bagus,Jakarta Pusat,Diversity_Job_Fair,3,4.0,0.0,0.0,12.0,+6289563833xxx,pacifiedRaisins7330@outlook.com,Sarjana,1,,masih_bekerja,1976-12-03,2012-01-09,2020-1-31,-
wrathfulMagpie6,105985,Belum_menikah,Wanita,FullTime,Software Engineer (Android),Freshgraduate_program,Sangat_bagus,Jakarta Barat,LinkedIn,3,4.0,0.0,0.0,11.0,+6285998643xxx,wrathfulMagpie6981@gmail.com,Sarjana,1,,masih_bekerja,1986-11-06,2011-07-05,2020-2-25,-
hushedSeahorse7,111202,Bercerai,Wanita,FullTime,Data Analyst,Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Diversity_Job_Fair,3,4.0,0.0,0.0,17.0,+6281212698xxx,hushedSeahorse7404@icloud.com,Sarjana,1,1.0,internal_conflict,1968-05-30,2012-04-02,2017-02-05,2017-09-12
guiltyMoth4,100621,Lainnya,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,Indeed,1,2.0,0.0,4.0,9.0,+6289723429xxx,guiltyMoth4337@icloud.com,Sarjana,1,,masih_bekerja,1967-04-19,2014-07-07,2020-1-31,-
peacefulCoati5,100301,Menikah,Wanita,FullTime,Product Manager,Senior_level,Sangat_bagus,Jakarta Utara,LinkedIn,4,5.0,0.0,0.0,15.0,+6283355427xxx,peacefulCoati5154@yahoo.com,Sarjana,1,,masih_bekerja,1977-05-22,2012-01-09,2020-01-07,-
dejectedPolenta7,101120,Lainnya,Wanita,FullTime,Scrum Master,Mid_level,Sangat_kurang,Jakarta Barat,Indeed,3,4.0,,0.0,,+6285591576xxx,dejectedPolenta7016@proton.com,Sarjana,1,,masih_bekerja,1981-03-26,2011-07-05,2019-03-02,-
needfulLeopard2,101124,Menikah,Pria,Outsource,Product Design (UX Researcher),Freshgraduate_program,Bagus,Jakarta Selatan,LinkedIn,3,3.0,0.0,0.0,7.0,+6285777032xxx,needfulLeopard2944@gmail.com,Magister,1,,masih_bekerja,1979-03-19,2013-07-08,2020-2-18,-
offendedIguana0,110788,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Pusat,LinkedIn,3,3.0,0.0,0.0,19.0,+6289531301xxx,offendedIguana0059@yahoo.com,Doktor,1,,masih_bekerja,1990-10-01,2015-3-30,2020-1-16,-
pluckyHoopoe3,105394,Bercerai,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Bagus,Jakarta Timur,CareerBuilder,1,3.0,0.0,2.0,3.0,+6281251580xxx,pluckyHoopoe3654@yahoo.com,Sarjana,1,,ganti_karir,1990-09-21,2011-04-04,2020-2-27,2016-04-04
needySyrup4,101226,Bercerai,Pria,FullTime,Product Manager,Freshgraduate_program,Biasa,Jakarta Pusat,Diversity_Job_Fair,2,,6.0,4.0,13.0,+6283112696xxx,needySyrup4506@hotmail.com,Magister,1,,ganti_karir,1986-10-05,2012-2-15,2020-2-22,2018-2-19
forsakenOwl1,105911,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Barat,CareerBuilder,4,3.0,0.0,0.0,15.0,+6283851827xxx,forsakenOwl1469@outlook.com,Magister,1,,masih_bekerja,1972-08-27,2011-01-10,2014-1-30,-
pluckyApples4,110566,Menikah,Wanita,FullTime,Software Engineer (Front End),Senior_level,Biasa,Jakarta Selatan,LinkedIn,3,5.0,0.0,0.0,15.0,+6281988935xxx,pluckyApples4880@icloud.com,Sarjana,1,,Product Design (UI & UX),1987-04-10,2016-07-06,2020-1-28,2016-08-07
guiltySnail8,106577,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Kurang,Jakarta Selatan,Employee_Referral,3,3.0,0.0,0.0,16.0,+6281228852xxx,guiltySnail8568@outlook.com,Sarjana,1,,ganti_karir,1965-02-02,2013-11-11,2020-1-24,2015-6-15
grizzledFlamingo9,106473,Menikah,Wanita,FullTime,Software Engineer (Back End),Mid_level,Biasa,Jakarta Utara,LinkedIn,4,3.0,7.0,0.0,,+6289673952xxx,grizzledFlamingo9139@proton.com,Doktor,1,,masih_bekerja,1973-05-27,2015-01-05,2019-2-13,-
worriedSyrup7,100603,Menikah,Pria,FullTime,Software Engineer (Android),Freshgraduate_program,Kurang,Jakarta Timur,Indeed,4,4.0,0.0,0.0,14.0,+6281989141xxx,worriedSyrup7917@yahoo.com,Sarjana,1,,masih_bekerja,1977-10-31,2011-5-16,2017-04-02,-
somberBoars0,106411,Bercerai,Pria,Outsource,Software Engineer (Front End),Mid_level,Bagus,Jakarta Barat,Diversity_Job_Fair,3,4.0,0.0,0.0,4.0,+6281307483xxx,somberBoars0230@proton.com,Magister,1,,masih_bekerja,1984-11-06,2011-2-21,2015-4-19,-
giddyMallard9,100730,Belum_menikah,Pria,FullTime,Software Engineer (Android),Mid_level,Kurang,Jakarta Pusat,Indeed,1,5.0,0.0,6.0,15.0,+6283300431xxx,giddyMallard9195@icloud.com,Magister,1,,ganti_karir,1989-10-18,2015-05-11,2020-01-03,2016-08-02
madFerret4,106540,Belum_menikah,Wanita,Outsource,Software Engineer (Front End),Freshgraduate_program,Biasa,Jakarta Pusat,LinkedIn,3,3.0,6.0,0.0,7.0,+6281222388xxx,madFerret4760@hotmail.com,Magister,1,,masih_bekerja,1981-04-14,2014-9-30,2020-01-07,-
mereCaribou1,106529,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,LinkedIn,3,3.0,0.0,0.0,2.0,+6282206634xxx,mereCaribou1593@gmail.com,Sarjana,1,,masih_bekerja,1988-07-10,2014-9-29,2020-2-18,-
decimalAbalone6,110848,Menikah,Wanita,FullTime,Software Engineer (Back End),Mid_level,Biasa,Jakarta Pusat,LinkedIn,3,3.0,0.0,0.0,20.0,+6283327274xxx,decimalAbalone6779@outlook.com,Magister,1,,masih_bekerja,1986-05-25,2014-05-12,2020-02-07,-
blissfulMussel3,105437,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Mid_level,Bagus,Jakarta Timur,Google_Search,2,5.0,0.0,1.0,19.0,+6289998200xxx,blissfulMussel3985@outlook.com,Sarjana,1,,masih_bekerja,1964-06-01,2011-8-15,2014-02-10,-
ardentLapwing0,110342,Belum_menikah,Pria,FullTime,Product Manager,Freshgraduate_program,Bagus,Jakarta Barat,Google_Search,3,4.0,0.0,0.0,7.0,+6289811806xxx,ardentLapwing0588@gmail.com,Sarjana,1,,masih_bekerja,1983-07-20,2012-2-20,2020-2-14,-
peskyTeal7,110552,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Indeed,2,5.0,0.0,0.0,15.0,+6289729171xxx,peskyTeal7261@icloud.com,Sarjana,1,,masih_bekerja,1983-03-19,2009-01-05,2020-02-04,-
blissfulHyena1,111140,Bercerai,Wanita,FullTime,Digital Product Manager,Freshgraduate_program,Bagus,Jakarta Timur,Indeed,3,4.0,0.0,0.0,19.0,+6289713466xxx,blissfulHyena1934@hotmail.com,Sarjana,1,,masih_bekerja,1982-03-28,2013-8-19,2020-02-12,-
solidMacaw1,100373,Belum_menikah,Pria,Outsource,Product Design (UI & UX),Freshgraduate_program,Sangat_kurang,Jakarta Selatan,LinkedIn,3,4.0,0.0,0.0,13.0,+6281872169xxx,solidMacaw1167@gmail.com,Magister,1,,masih_bekerja,1979-04-06,2013-07-08,2020-01-11,-
cautiousPolenta9,106561,Lainnya,Pria,Outsource,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Selatan,Indeed,3,3.0,0.0,0.0,4.0,+6281207070xxx,cautiousPolenta9061@proton.com,Magister,1,,masih_bekerja,1963-10-30,2014-9-29,2020-1-28,-
excludedPorpoise4,110363,Bercerai,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Sangat_bagus,Jakarta Barat,Google_Search,4,5.0,0.0,0.0,12.0,+6289919120xxx,excludedPorpoise4252@icloud.com,Sarjana,1,1.0,masih_bekerja,1970-10-27,2011-04-04,2020-1-14,-
shamefulIguana0,101682,Lainnya,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Barat,Indeed,3,5.0,0.0,0.0,4.0,+6281210001xxx,shamefulIguana0780@yahoo.com,Magister,1,0.0,masih_bekerja,1967-06-05,2013-2-18,2020-1-14,-
shySyrup7,105543,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Barat,LinkedIn,1,3.0,0.0,5.0,16.0,+6281238359xxx,shySyrup7423@yahoo.com,Magister,1,,masih_bekerja,1979-08-12,2011-07-11,2017-05-01,-
forsakenCow7,101626,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Pusat,Indeed,3,4.0,0.0,0.0,18.0,+6285742730xxx,forsakenCow7683@gmail.com,Doktor,1,,masih_bekerja,1989-05-12,2010-9-27,2020-1-31,-
grumpyFish4,110505,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Sangat_bagus,Jakarta Barat,Employee_Referral,2,5.0,0.0,0.0,17.0,+6289521535xxx,grumpyFish4017@hotmail.com,Sarjana,1,,kejelasan_karir,1970-06-11,2012-5-14,2020-1-19,2017-11-15
wingedPorpoise5,106141,Belum_menikah,Wanita,FullTime,Product Design (UI & UX),Senior_level,Bagus,Jakarta Barat,Website,4,3.0,0.0,0.0,6.0,+6289691256xxx,wingedPorpoise5929@outlook.com,Sarjana,1,,masih_bekerja,1975-10-22,2015-2-16,2020-1-23,-
soreCaribou0,111250,Belum_menikah,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Pusat,LinkedIn,3,4.0,0.0,0.0,18.0,+6285700061xxx,soreCaribou0431@outlook.com,Magister,1,,masih_bekerja,1984-07-07,2013-04-01,2020-1-17,-
needfulCardinal0,105390,Bercerai,Wanita,Outsource,Software Engineer (Back End),Senior_level,Bagus,Jakarta Timur,Indeed,4,3.0,0.0,0.0,19.0,+6281206622xxx,needfulCardinal0741@proton.com,Magister,1,,tidak_bahagia,1989-09-01,2014-07-07,2020-2-27,2015-01-07
giddyCheetah9,100381,Menikah,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Sangat_kurang,Jakarta Pusat,Indeed,3,3.0,0.0,0.0,2.0,+6282295263xxx,giddyCheetah9745@icloud.com,Sarjana,1,,ganti_karir,1958-12-27,2013-8-19,2020-01-10,2013-9-26
hushedOil9,105634,Bercerai,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Pusat,Indeed,3,4.0,0.0,0.0,1.0,+6281206113xxx,hushedOil9777@proton.com,Sarjana,1,,masih_bekerja,1982-11-15,2014-05-12,2020-2-19,-
crummyPudding5,100826,Lainnya,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,Indeed,3,5.0,0.0,0.0,7.0,+6289829434xxx,crummyPudding5519@icloud.com,Sarjana,1,,masih_bekerja,1992-06-18,2013-11-11,2020-2-18,-
selfishBasmati2,110407,Lainnya,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Timur,Diversity_Job_Fair,4,4.0,3.0,0.0,,+6285718122xxx,selfishBasmati2000@hotmail.com,Magister,1,,tidak_bahagia,1987-04-04,2015-2-16,2020-2-18,2018-9-23
adoringCardinal9,101188,Lainnya,Wanita,FullTime,Data Analyst,Mid_level,Sangat_bagus,Jakarta Barat,LinkedIn,4,5.0,0.0,0.0,,+6289841872xxx,adoringCardinal9745@yahoo.com,Sarjana,1,,masih_bekerja,1987-05-21,2015-3-30,2020-02-07,-
importedApricots7,105820,Menikah,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Barat,Indeed,3,,,0.0,10.0,+6289594763xxx,importedApricots7729@hotmail.com,Sarjana,1,0.0,masih_bekerja,1971-10-23,2015-2-16,2016-1-20,-
grizzledCod7,111184,Belum_menikah,Wanita,Outsource,Product Manager,Mid_level,Sangat_bagus,Jakarta Barat,Indeed,4,4.0,0.0,0.0,8.0,+6281209062xxx,grizzledCod7824@hotmail.com,Doktor,1,,masih_bekerja,1977-11-22,2011-5-31,2020-01-10,-
insecureShads2,111302,Belum_menikah,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Sangat_bagus,Jakarta Utara,LinkedIn,2,2.0,0.0,6.0,3.0,+6289741767xxx,insecureShads2204@proton.com,Sarjana,1,,masih_bekerja,1980-09-30,2014-3-31,2019-03-09,-
wornoutChamois3,111533,Belum_menikah,Wanita,Outsource,Software Engineer (Front End),Freshgraduate_program,Kurang,Jakarta Barat,Google_Search,4,5.0,0.0,0.0,14.0,+6285889643xxx,wornoutChamois3020@hotmail.com,Doktor,1,,masih_bekerja,1975-03-10,2013-9-30,2020-02-06,-
lazyToucan3,106660,Bercerai,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Kurang,Jakarta Utara,Diversity_Job_Fair,3,5.0,0.0,0.0,11.0,+6287705186xxx,lazyToucan3860@gmail.com,Magister,1,,masih_bekerja,1975-04-03,2009-4-27,2013-2-15,-
cockyTeal5,105937,Lainnya,Wanita,FullTime,Software Engineer (Front End),Senior_level,Biasa,Jakarta Utara,Indeed,3,3.0,4.0,0.0,6.0,+6285899573xxx,cockyTeal5115@icloud.com,Sarjana,1,,masih_bekerja,1985-09-16,2015-2-16,2016-4-15,-
puzzledBagels7,101053,Belum_menikah,Pria,Outsource,Software Engineer (Front End),Mid_level,Sangat_bagus,Jakarta Pusat,Diversity_Job_Fair,3,5.0,0.0,0.0,20.0,+6281967947xxx,puzzledBagels7691@hotmail.com,Sarjana,1,,masih_bekerja,1969-02-24,2011-03-07,2020-1-17,-
debonairPlover9,111692,Lainnya,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,LinkedIn,2,5.0,0.0,4.0,18.0,+6283194302xxx,debonairPlover9126@icloud.com,Sarjana,1,,masih_bekerja,1983-05-16,2014-2-17,2020-02-11,-
wornoutCrane2,111397,Menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Biasa,Jakarta Timur,Google_Search,2,4.0,0.0,0.0,14.0,+6285982588xxx,wornoutCrane2580@gmail.com,Sarjana,1,,masih_bekerja,1984-10-15,2011-5-16,2019-04-02,-
mercifulSausage4,100674,Lainnya,Wanita,FullTime,Data Engineer,Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Google_Search,1,3.0,0.0,0.0,6.0,+6283244035xxx,mercifulSausage4755@icloud.com,Sarjana,1,,masih_bekerja,1973-09-23,2010-4-26,2020-1-21,-
boastfulLlama7,110454,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Kurang,Jakarta Pusat,Google_Search,3,3.0,5.0,0.0,4.0,+6281290991xxx,boastfulLlama7262@yahoo.com,Sarjana,1,,tidak_bahagia,1966-11-22,2011-8-15,2020-1-21,2018-06-08
trustingLizard8,100769,Belum_menikah,Pria,FullTime,Data Engineer,Freshgraduate_program,Biasa,Jakarta Utara,CareerBuilder,3,3.0,0.0,2.0,7.0,+6287864537xxx,trustingLizard8944@hotmail.com,Sarjana,1,,masih_bekerja,1963-08-28,2011-09-06,2020-1-27,-
mellowCheese1,105779,Bercerai,Pria,Outsource,Software Engineer (Back End),Mid_level,Kurang,Jakarta Barat,Employee_Referral,3,3.0,0.0,0.0,,+6287742497xxx,mellowCheese1411@icloud.com,Doktor,1,,masih_bekerja,1985-09-15,2015-3-30,2020-2-18,-
boastfulWasp1,110642,Lainnya,Wanita,FullTime,Software Engineer (Front End),Mid_level,Biasa,Jakarta Selatan,Indeed,4,4.0,0.0,0.0,6.0,+6285660996xxx,boastfulWasp1154@gmail.com,Doktor,1,,tidak_bisa_remote,1978-12-02,2013-01-07,2020-1-18,2017-11-04
excitedCake6,110524,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Pusat,Google_Search,3,5.0,0.0,0.0,9.0,+6281202919xxx,excitedCake6722@proton.com,Sarjana,1,0.0,masih_bekerja,1981-08-31,2011-5-16,2013-05-03,-
blissfulGnu4,106501,Lainnya,Wanita,Outsource,Software Engineer (Android),Mid_level,Kurang,Jakarta Selatan,Indeed,3,3.0,6.0,0.0,2.0,+6283206252xxx,blissfulGnu4786@hotmail.com,Magister,1,,masih_bekerja,1986-07-24,2012-11-05,2020-2-13,-
zestyPorpoise7,105688,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Timur,Employee_Referral,3,3.0,0.0,0.0,3.0,+6289655446xxx,zestyPorpoise7101@gmail.com,Magister,1,,masih_bekerja,1978-08-25,2014-3-31,2020-01-11,-
lyingAntelope8,110612,Belum_menikah,Pria,FullTime,Software Engineer (iOS),Mid_level,Bagus,Jakarta Barat,Indeed,2,3.0,0.0,6.0,5.0,+6285936816xxx,lyingAntelope8984@outlook.com,Sarjana,1,,masih_bekerja,1975-11-02,2014-9-29,2020-1-30,-
cruelCaviar1,110478,Belum_menikah,Wanita,Outsource,Software Engineer (Android),Freshgraduate_program,Sangat_kurang,Jakarta Pusat,Indeed,4,5.0,0.0,0.0,7.0,+6285654618xxx,cruelCaviar1334@outlook.com,Doktor,1,,masih_bekerja,1963-05-15,2014-8-18,2020-1-21,-
pacifiedCow0,105370,Belum_menikah,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Bagus,Jakarta Utara,Google_Search,3,4.0,5.0,0.0,8.0,+6281973417xxx,pacifiedCow0861@icloud.com,Sarjana,1,,masih_bekerja,1986-04-04,2014-07-07,2016-1-15,-
ashamedSyrup5,100852,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Biasa,Jakarta Selatan,LinkedIn,4,3.0,0.0,0.0,2.0,+6281961300xxx,ashamedSyrup5760@gmail.com,Sarjana,1,,masih_bekerja,1979-05-21,2012-07-02,2020-1-14,-
solemnLemur7,106462,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Bagus,Jakarta Pusat,Employee_Referral,2,5.0,0.0,0.0,4.0,+6283842230xxx,solemnLemur7109@gmail.com,Magister,1,,masih_bekerja,1985-01-28,2013-07-08,2020-02-11,-
culturedOrange6,101163,Menikah,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Pusat,LinkedIn,4,3.0,0.0,0.0,4.0,+6283359623xxx,culturedOrange6330@yahoo.com,Magister,1,,masih_bekerja,1976-08-25,2016-05-11,2020-1-21,-
somberCod8,110312,Bercerai,Pria,FullTime,Data Analyst,Mid_level,Sangat_bagus,Jakarta Barat,Employee_Referral,4,4.0,0.0,0.0,19.0,+6289954216xxx,somberCod8452@icloud.com,Sarjana,1,,masih_bekerja,1983-02-18,2013-9-30,2020-2-25,-
excludedTeal8,100942,Lainnya,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Utara,LinkedIn,3,4.0,0.0,0.0,4.0,+6283218201xxx,excludedTeal8756@gmail.com,Sarjana,1,,masih_bekerja,1986-06-10,2012-2-20,2020-01-07,-
brainyMagpie7,106620,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Senior_level,Biasa,Jakarta Pusat,Indeed,2,5.0,5.0,0.0,9.0,+6281267984xxx,brainyMagpie7048@gmail.com,Doktor,1,,internal_conflict,1986-09-01,2014-9-29,2020-1-18,2019-06-06
brainySalt8,105538,Lainnya,Pria,FullTime,Data Engineer,Freshgraduate_program,Kurang,Jakarta Barat,Employee_Referral,3,5.0,0.0,0.0,3.0,+6283112563xxx,brainySalt8580@proton.com,Sarjana,1,,masih_bekerja,1977-09-08,2013-07-08,2020-1-14,-
artisticTacos7,100515,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Barat,Indeed,3,5.0,0.0,0.0,3.0,+6283134314xxx,artisticTacos7452@proton.com,Doktor,1,,masih_bekerja,1988-05-31,2011-10-03,2020-1-30,-
brainyRice8,106245,Bercerai,Wanita,FullTime,Product Design (UI & UX),Freshgraduate_program,Biasa,Jakarta Pusat,CareerBuilder,3,3.0,6.0,0.0,6.0,+6289935357xxx,brainyRice8142@icloud.com,Sarjana,1,,masih_bekerja,1979-04-04,2015-2-16,2020-02-11,-
scornfulCoati1,110699,Belum_menikah,Pria,Outsource,Software Engineer (Front End),Senior_level,Kurang,Jakarta Barat,Google_Search,4,4.0,0.0,5.0,16.0,+6285585054xxx,scornfulCoati1438@icloud.com,Magister,1,,toxic_culture,1983-09-02,2012-04-02,2019-04-12,2020-9-27
finickyDunbird1,105678,Lainnya,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Biasa,Jakarta Barat,Google_Search,4,3.0,0.0,0.0,7.0,+6281290096xxx,finickyDunbird1042@icloud.com,Magister,1,,apresiasi,1991-09-05,2011-04-04,2018-04-09,2020-2-25
sincereGatorade8,111089,Menikah,Wanita,Outsource,Data Analyst,Freshgraduate_program,Sangat_bagus,Jakarta Timur,Indeed,3,5.0,7.0,0.0,2.0,+6281225029xxx,sincereGatorade8842@icloud.com,Sarjana,1,,toxic_culture,1987-06-14,2016-10-02,2020-01-08,2017-3-15
peskyPudding8,110423,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Timur,Diversity_Job_Fair,3,2.0,6.0,0.0,14.0,+6289859069xxx,peskyPudding8206@hotmail.com,Sarjana,1,,masih_bekerja,1987-11-24,2008-10-27,2020-1-15,-
